name,address,phone,rating,reviews,category
Elite Squad Gymnastics Academy (Chandapura),"Marsur Gate Marsur, Bangalore",07383740174,4.8,29,Fitness-Studio
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",08904249820,4.7,802,Fitness-Studio
Vivs Gym,"Mosque Road Frazer Town, Bangalore",08050264059,4.3,262,Fitness-Studio
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",08490888466,4.5,74,Fitness-Studio
Shubha Sangeetha Mattu Nrutya Paata Shale,"Nagadevanahalli-gnanabharathi, Bangalore",09980149688,4.1,11,Fitness-Studio
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",07411829469,4.8,542,Fitness-Studio
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",09845270206,4.9,214,Fitness-Studio
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101,Fitness-Studio
Prafitz Dance & Fitness,"Immadihalli Main Road Whitefield, Bangalore",07487861570,4.9,49,Fitness-Studio
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",09980543710,4.7,569,Fitness-Studio
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",09980229160,4.6,652,Fitness-Studio
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",09035018526,4.9,449,Fitness-Studio
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",08105032618,4.5,382,Fitness-Studio
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",08460415524,4.1,752,Fitness-Studio
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",08123790528,4.5,14,Fitness-Studio
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",07041151920,3.5,2,Fitness-Studio
Shorin Ryu Karate Do Martial Arts Fitness Clubs,"Gandhi Circle Varthur Varthur, Bangalore",09980239396,4.6,11,Fitness-Studio
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211,Fitness-Studio
Tenzee Multisports,"Bannerghatta Main Road Bilekahalli, Bangalore",09724613948,4.3,187,Fitness-Studio
Leon Maestro De Fitness,"Kammanahalli Main Road Kammanahalli, Bangalore",09980137198,4.5,469,Fitness-Studio
The Happy Yoga Community,"23rd Cross Jayanagar 7th Block, Bangalore",09725979029,4.7,219,Fitness-Studio
Bangalore Indoor Cricket Club,"Next to G T Residential Layout Laggere, Bangalore",09980216977,4.2,962,Fitness-Studio
Emerge Private Fitness Studio,"24th Cross Jayanagar 6th Block, Bangalore",09606166994,4.8,1,Fitness-Studio
Excel Dance And Fitness Academy,"5th Cross Road Koramangala 6th Block, Bangalore",09740248499,4.7,76,Fitness-Studio
Finix Fitness Studio,"Gandhi Bazar Main Road Basavanagudi, Bangalore",08050765716,4.6,883,Fitness-Studio
Muscle Craft Fitness Centre,"24th Main Jp Nagar 5th Phase, Bangalore",09980011967,4.3,174,Fitness-Studio
Move N Groove Dance and Fitness Studio Sanjaynagar Branch,"Sanjay Nagar Main Road Sanjay Nagar, Bangalore",08460492997,3.5,2,Fitness-Studio
Kittys Muscle Planet,"Modi Hospital Road Basaveshwara Nagar, Bangalore",08460484369,4.9,367,Fitness-Studio
Zero 3,"29th Cross Main Road Kaggadasapura Road, Bangalore",07048312669,5.0,1,Fitness-Studio
Muscle Pump Gym,"ITI Layout Kathriguppe, Bangalore",08867682568,4.6,82,Fitness-Studio
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",08511066401,4.6,367,Fitness-Studio
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",09054821932,4.8,119,Fitness-Studio
4th Station Gym,"2nd Block Basaveshwara Nagar, Bangalore",06366558724,4.5,467,Fitness-Studio
Clout Fit,"Whitefield Hoskote Road Belathur, Bangalore",08401264082,4.9,671,Fitness-Studio
Eden Spalicious Pvt Ltd,"Anjaneya Nagar Banashankari 3rd Stage, Bangalore",09980216892,3.6,121,Fitness-Studio
Furyinc.Co,Bangalore,09980116072,4.4,4,Fitness-Studio
Witness The Fitness,"Devachikkahalli Main Road Begur, Bangalore",07041567319,4.9,395,Fitness-Studio
Reboot Fitness and Dance Studio,"Ombr Layout-Banaswadi, Bangalore",09980229077,4.5,39,Fitness-Studio
Bmf Station Body Mind Fit,"Muneshwara Block Banashankari 3rd Stage, Bangalore",08460510367,4.6,114,Fitness-Studio
Clout Fit,"Kodigehalli Main Road Krishnarajapuram, Bangalore",08401768770,4.7,722,Fitness-Studio
Rba Of Arts,"Beml Layout Rajarajeshwari Nagar, Bangalore",09980539404,4.5,65,Fitness-Studio
TFT GYM,"Kumaraswamy Layout Kumaraswamy Layout 1st Stage, Bangalore",09980232674,4.7,366,Fitness-Studio
Sunrisers Sports & Cultural Federation,"Anand Layout Vidyaranyapura, Bangalore",Show Number,4.6,11,Fitness-Studio
Fitness First,"Whitefield Main Road Whitefield, Bangalore",08401527147,4.3,185,Fitness-Studio
M3 Fitness Club,"Marathalli Outer Ring Road Marathahalli, Bangalore",Show Number,4.3,64,Fitness-Studio
SAP Fitness,"Kempegowda Layout Outer Ring Road Laggere, Bangalore",09980796687,5.0,35,Fitness-Studio
Skanda Fitness Center,"8th Cross Road Jakkasandra, Bangalore",07947313088,4.8,547,Fitness-Studio
Ymia Club,"Assaye Road, Bangalore",09606170197,4.0,69,Fitness-Studio
TRIURGE,"Jayanagar, Bangalore",Show Number,4.8,103,Fitness-Studio
Jbs Football Ground,"Krishnappa Garden C V Raman Nagar, Bangalore",08045784912,4.2,797,Fitness-Studio
Body Edit,"80 Feet Road Padmanabhanagar, Bangalore",Show Number,5.0,194,Fitness-Studio
Jayanagar Volleyball Stadium,"Bengaluru Jayanagar, Bangalore",09606185598,4.8,319,Fitness-Studio
The Hsr Club,"22nd Cross HSR Layout Sector 3, Bangalore",Show Number,4.2,7,Fitness-Studio
The Majesstine Sports,"5th Cross Garvebhavipalya, Bangalore",Show Number,4.4,3,Fitness-Studio
Star Fitness Gym & Health Club,"Saraswathipuram Main Road Saraswathipuram, Bangalore",Show Number,4.0,3,Fitness-Studio
Hawk Fitness,"Electronic C electronic city, Bangalore",Show Number,4.9,1,Fitness-Studio
Moveza Fitness - Panathur,"Panathur Road Kadubeesanahalli, Bangalore",Show Number,4.1,2,Fitness-Studio
Zest Fitness Studio Ect,"Neeladri Road Electronic City, Bangalore",Show Number,4.8,1,Fitness-Studio
Reforma Fitness Center,"Mathikere Main Road Mathikere, Bangalore",Show Number,4.8,1,Fitness-Studio
Fitness Empire,"Outer Ring Road Marathahalli, Bangalore",Show Number,4.7,1,Fitness-Studio
Fitness Fuel Factory,"17th Cross HSR Layout, Bangalore",Show Number,4.8,1,Fitness-Studio
Srx Fitness Studio,"HMT Main Road Mathikere, Bangalore",Show Number,4.8,1,Fitness-Studio
Zest Fitness Studio,"27th Main Road HSR Layout Sector 1, Bangalore",Show Number,4.6,1,Fitness-Studio
Gold's Gym,"Whitefield Main Road Whitefield, Bangalore",Show Number,4.1,1,Fitness-Studio
Bon Ton Fitness,"108 3RD FLOOR 4TH Nagasandra, Bangalore",Show Number,4.9,1,Fitness-Studio
Muscle Planet,"Laggere Main Road Laggere, Bangalore",Show Number,4.9,1,Fitness-Studio
Vinnis Fitness,"Hesarghatta Main Road Hessargatta Main Road, Bangalore",Show Number,4.9,1,Fitness-Studio
Curl Fit,"Ejipura Main Road Ejipura, Bangalore",Show Number,4.8,1,Fitness-Studio
Befiter Fitness,"11th Main Road Mathikere, Bangalore",Show Number,4.8,1,Fitness-Studio
Arch Physiotherapy And Rehabilitation,"Kundanahalli Kundalahalli, Bangalore",Show Number,4.8,1,Fitness-Studio
Stayfit Hub,"Bannerghatta Road Bannerghatta Road, Bangalore",Show Number,4.9,1,Fitness-Studio
