area,centre_count
Jayanagar,11
Bangalore,8
Koramangala,6
Whitefield Main Road Whitefield,5
Basaveshwara Nagar,4
Jp Nagar 5th Phase,4
Maruthi Nagar Madiwala,4
Oil Mill Road Kammanahalli,4
Dinnur Main Road Rt Nagar,3
Mosque Road Frazer Town,3
Byataranyanapura,3
Kalyan Nagar,3
Kodigehalli Main Road Krishnarajapuram,3
Rajajinagar,3
Malleswaram,3
S Kariyappa Road Jayanagar,3
Sadashivanagar,3
100 Feet Inner Ring Road Koramangala,3
HSR Layout,3
Hrbr Layout,2
Hormavu Main Road Banaswadi,2
Hoysala Nagar-Indiranagar,2
Beml Layout Rajarajeshwari Nagar,2
Bannerghatta Main Road Bilekahalli,2
Hsr Layout,2
Neeladri Road Electronic City,2
BTM Layout 2nd Stage,2
BTM 4th Stage Vijaya Bank Layout,2
Old Airport Road Old Airport Road,2
Road HSR Layout,2
Ombr Layout-Banaswadi,2
Outer Ring Road Hrbr Layout,2
Brigade Road Brigade Road,2
Outer Ring Road Marathahalli,2
HSR Layout Sector 1,2
Bull Temple Main Road Basavanagudi,2
C V Raman Nagar,2
Road Koramangala,2
Devachikkahalli Main Road Begur,2
Rajarajeshwari Nagar,2
Dr Rajkumar Road Rajajinagar,2
Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,2
Ramamurthy Nagar,2
Road Banashankari 2nd Stage,2
Electronic City,2
Nagarbhavi,2
Gandhi Bazar Main Road Basavanagudi,2
Ambedkar Nagar Hill Top Whitefield,2
Wipro Signal Koramangala,2
Vani Vilas Road Basavanagudi,2
Uttarahalli Main Road Uttarahalli,2
Whitefield Hoskote Road Belathur,2
Muneshwara Block Banashankari 3rd Stage,2
1st Jp Nagar 7th Phase,2
Kaveri Kantha Koramangala,2
19 Khb Colony Bengaluru Koramangala,2
Malleshpalya,2
Modi Hospital Road Basaveshwara Nagar,2
Main Road Kaggadasapura Road,2
Kengeri Ring Road Gnanabharathi,2
Yelahanka New Town,2
Jp Nagar 6th Phase,2
Mathikere,2
Panduranga Nagar,1
Puttenahalli Main Road Jp Nagar 7th Phase,1
Panathur Road Kadubeesanahalli,1
Marathahalli Outer Ring Road Marathahalli,1
Pes Vidya Kendra Nelamangala Town Nelamangala,1
Pottery Road Frazer Town,1
Manipalcounty Road Bommanahalli,1
Pragati Puram Habibulla Nagar,1
Marathahalli Sarjapur Road HSR Layout,1
Peenya 2nd Stage Hegganahalli Cross,1
Nagarabhavi Ring Road Nagarbhavi 2nd Stage,1
R T Nagar Main Road Rt Nagar,1
Manipal County Road Aecs B Block,1
R V Road Cross Basavanagudi,1
Marathalli Outer Ring Road Marathahalli,1
Rachenahalli Bengaluru Thanisandra,1
Rajajinagar 2nd Stage,1
Rajupeta Colony Ramalayam,1
Ramakrishna Garden Girinagar,1
Ramamurthy Nagara Main Road Ramamurthy Nagar,1
Ramna Kharbi,1
Ranka Colony Road Bilekahalli,1
Main Road Golahalli,1
Rayakotta Road Old Rayakottah HUDCO,1
Marathahalli Sarjapur Road Kaikondrahalli,1
Outer Ring Road Mahadevapura,1
Panathur Post Bellandur,1
Munnekollal Marathahalli,1
Nagadevanahalli-gnanabharathi,1
Nagareshwara Nagenahalli Main Road K Narayanapura,1
NO 9 8TH E MAIN Vidyaranyapura,1
Nagla Masani Pratibha Colony,1
Nandanam Colony Banaswadi Main Road,1
Nandhini Layout. Nandini Layout,1
National Games Village Complex KHB Games Village,1
Near It Park It Layout Sector 7 HSR Layout Sector 7,1
Mysore Road Kumbalgodu,1
Muthyalamma Temple Road Doddaballapur,1
Rayasandra Main Road Naganathapura,1
New Kantharaj Urs Road Tk Layout,1
Muthyalamma Temple Complex Doddaballapura Doddaballapur,1
Ms Ramaiah Road Mathikere,1
Marsur Gate Marsur,1
Next to G T Residential Layout Laggere,1
Ngef Layout Nagarbhavi,1
No.26 2nd Floor Akashya Commercial Complex Victoria Layout,1
Off 80 Feet Road Koramangala,1
Mg Layout Mullur,1
Old Alwal-Alwal,1
Old Bus Stand Road Pandavapura,1
Mc Layout,1
Opp.Hampinagar Bus Stand Rpc Layout,1
Opposite BMTC Bus Stand Chandra Layout,1
Mathikere Market Road Mathikere,1
Nagarabhavi Nagarbhavi,1
Mathikere Main Road Mathikere,1
Netajinagar T Dasarahalli,1
#121 Sahakara Nagar,1
Residency Road Residency Road,1
VENKATESH MURTHY RD. Banashankari,1
Tumkur Road Yeshwanthpur,1
Thyagaraj Nagar,1
Thindlu Main Road Vidyaranyapura,1
Thigala Chowdadenahalli Dommasandra,1
Thambu Chetty Palya Main Road Ragavendra Circle,1
Teachers Colony-Koramangala,1
Tatabad 3rd Street Tatabad,1
Sun Pharma Road Bhaili,1
Sultanpalya Main Road Rt Nagar,1
Sultan Palya Main Road Rt Nagar,1
Sudhama Nagar,1
Subbanapalaya,1
Street No:2 Manikonda,1
Street No 2 Lalammagarden Manikonda,1
Street John'S Road St Johns Road,1
Stage 2 Isro Layout,1
Srinivasnagar Main Road Banashankari,1
Srinivas Complex Doddaballapur,1
Spencer Road Pulikeshi Nagar,1
Umarbagh Layout,1
VLM English School Sunder Nagar,1
Sitamani Sita Manimain Road,1
Vasanthapura Main Road Vasanthpura,1
Yellanahalli,1
Yelahanka,1
Wilson Garden,1
Whitefield Whitefield Main Road,1
Wheeler Road Frazer Town,1
Wazir Hussain Gokhale Vihar Marg,1
Vyalikaval Hbcs Layout Nagawara,1
Vmr Complex 4th Floor Kundalahalli,1
Vishwajit Layout Vignana Nagar,1
Virgonagar,1
Virat Nagar-Bommanahalli,1
Vinayaka Layout-Nagarbhavi,1
Vinayaka Layout Nagarbhavi 2nd Stage,1
Vijayanagar,1
Vijaya Bank Layout,1
Vigneshwar Nagar,1
Vidyaranyapura,1
Victoria Layout Victoria Road,1
Venkateshwara Layout,1
Sodepur Appareddipalya Bengaluru Indiranagar,1
Sidco Krishnagiri Courts,1
Richmond Rd Ashoknagar,1
Roadclub Road Hsr Layout,1
Road Vijayanagar,1
Road Thanisandra,1
Road Sahakara Nagar,1
Road Nagaraja Garden,1
Road Kogilu,1
Road Kasturi Nagar,1
Road Jp Nagar,1
Road Jayanagar,1
Road Jakkasandra,1
Road Hebbal,1
M G Road Bm Road,1
Road Goripalya,1
Road Ganga Nagar Extension,1
Road Devarachikkana Halli,1
Road Circular Street,1
Road C V Raman Nagar,1
Road Bns Layout,1
Road Bannerghatta Road,1
Road Agrahara Dasarahalli,1
Road Yelahanka New Town,1
Robertson Road Frazer Town,1
Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara,1
Royal Mart Building 2nd Floor Padmanabhanagar,1
Shirdi Sai Nagar-Munekollal,1
Sharada Nagar-Bikasipura,1
Seshadripuram,1
Seegehalli Road Chaitanya Ananya,1
Sector 12 Chopasni Housing Board,1
Sarvabhouma Nagar Bilekahalli,1
Sarjapur Road Attibele,1
Sarjapur Outer Ring Road Bellandur,1
Saraswathipuram Main Road Saraswathipuram,1
Sanjay Nagar Main Road Sanjay Nagar,1
Sanatana Eternal 1st Floor Himayat Nagar,1
Sair Bagh Cunningham Road,1
Sai Baba Temple Next Vidyaranyapura,1
Sahayadri Layout Sidedahalli,1
Sahakara Nagar,1
S Lachit Nagar Main Road,1
Rt Nagar Rt Nagar,1
Rs Garden Bommasandra,1
Rrmp Extension K H Road,1
Magadi Main Road Anjananagar,1
Kereguddadahalli,1
Lakshmi Srinivasa Complex Rt Nagar,1
B Block Sahakara Nagar,1
Bengaluru Cooke Town,1
Bellary Road Sadashivanagar,1
Begur Road,1
Begur Main Road Bommanahalli,1
Basti Gobindgarh Road Nanak Pura,1
Basaveshwaranagar Main Road Basaveshwara Nagar,1
Basavanagar Main Road Basava Nagar,1
Bannerghatta Road Bannerghatta Road,1
Bannerghatta Road Arekere Village,1
Bannerghatta Road Akshayanagar,1
Bannerghatta Main Road Bannerghatta Road,1
Bannerghatta Main Road BTM Layout 2nd Stage,1
Bangarappanagar Main Road Bangarappanagar,1
Banaswadi Main Road Banaswadi,1
Banaswadi,1
Banashankari 3rd Stage,1
Balaji Street Ramamurthy Nagar,1
Balaji Mandir Pally Sushmapally,1
Babusapalya,1
Bengaluru Jayanagar,1
Bengaluru Kalkere Bengaluru Dodda Kempaiah Layout,1
Between Jp Nagar 7th Phase,1
Chandra Layout Vijayanagar,1
Devarchikkanahalli Road Chikkanahalli Road,1
Dayanandasagar College Road Kumaraswamy Layout,1
Dasarakoppalu Circle Salagame Road,1
Dasarahalli Main Road Hebbal,1
Dasarahalli Hebbal,1
Cil Layout,1
Chikkalasandra Ramanjaneya Nagar,1
Channel Road Ck Road,1
CBI Road Rt Nagar,1
Bg Road Krishna Layout Extension,1
Btm 6th Stage Hulimavu,1
Brookfield Marathahalli,1
Brookefield,1
Brindavan Layout Road Horamavu,1
Bondir Wado Panaji Santa Cruz,1
Block C Sahakara Nagar,1
Bhootnath Road Chitragupta Nagar,1
Bhagwat Nagar Chauraha,1
B Wing 3rd Floor Patni Chowk,1
Ayyappa Nagar-Krishnarajapura,1
Laggere Main Road Laggere,1
Assaye Road,1
80 Feet Road Kathriguppe,1
80 Feet Road HAL 2nd Stage Indiranagar,1
4th Stage Basaveshwara Nagar,1
4th Phase Yelahanka New Town,1
3rd Floor RMV Extension 2nd Stage,1
2nd Stage Rajajinagar,1
2nd Stage Indiranagar,1
2nd Phase Vijaynagar 4th Stage,1
2nd Phase Girinagar,1
2nd Floor Jp Nagar 7th Phase,1
21st Km Kanakapura Road,1
1st Sector Hsr Layout,1
1st Phase Bharat Nagar,1
16th Jp Nagar 5th Phase,1
12 Bangalore Highways Karumbalai Karuppur,1
108 3RD FLOOR 4TH Nagasandra,1
100 Feet Road Indiranagar Indiranagar,1
100 Feet Main Road Jayanagar,1
1 Street Main Road Ilyas Nagar,1
80 Feet Road Koramangala,1
80 Feet Road Padmanabhanagar,1
80 Feet Road Rt Nagar,1
An Gupta Layout,1
Arakere,1
Anugraha Layout,1
Annasandrapalya Extension,1
Anjaneya Nagar Banashankari 3rd Stage,1
Anjanapura,1
Anekal Taluk Attibele,1
Anekal Main Road Tavarekere Road,1
Anand Layout Vidyaranyapura,1
Amruthur Road Yediyur,1
80 Feet Road Vijayanagar,1
Amruthalli Main Road Jakkur Jakkur,1
Al Badar Road Rajivnagar,1
Agb Layout Chikkabanavara Bengaluru Chikbanavara,1
Aecs Layout Kundalahalli,1
Aecs Layout C Block Aecs Layout Bengaluru Brookefield,1
9th Crs Jayanagar,1
8th Mile Peenya Nagasandra,1
80Feet RT Nagar Main Road Rt Nagar,1
Devasthanagalu,1
Dodda Basti Main Road Sonnenahalli,1
Dollars Colony-RMV 2nd Stage,1
Double Road Doddakallasandra,1
K. R. Road Jayanagar,1
K Narayanapura Road Kothanur,1
K H Road Shanthinagar,1
Judicial Layout Gkvk,1
Jp Nagar,1
Joyshree Sangha Kalitala Kolkata Bansdroni,1
Jindal,1
Jakkur Plantation,1
J.p Nagar 6th Jp Nagar,1
Ivri Road Yelahanka,1
Ittamadu,1
Ist Cross Road Bhagyalakshmi Avenue,1
Immadihalli Main Road Whitefield,1
ITI Layout Kathriguppe,1
Hsr Layout Sector 4,1
Hsr Layout Sector 2,1
Hsr Layout Sector 1,1
Hosur Main Road Electronic City Phase 2,1
Horamavu Main Road Banaswadi,1
KV Layout Jayanagar,1
Kachohalli Main Road ISRO Layout Kumaraswamy,1
Kagdaspura Main Road C V Raman Nagar,1
Kothanur Post Office Road Kothanur,1
Kundanahalli Kundalahalli,1
Kumaraswamy Layout Kumaraswamy Layout 1st Stage,1
Kumaraswamy Layout 2 Stage,1
Krishnarajapuram,1
Krishnappa Garden C V Raman Nagar,1
Krishnagiri Bye Pass Road Jalagandeswarar Nagar,1
Kothnur Village Main Road Jp Nagar,1
Kothnur Main Road Jp Nagar 7th Phase,1
Kormangala Koramangala,1
Kaggadasapura Main Road Kagadasspura,1
Konanakunte Main Road Konanakunte Cross,1
Kogilu Main Road Kogilu,1
Kodigehalli Police Station Kodigehalli,1
#44 CNR Complex Vinayaka Nagar Yelahanka,1
Kempegowda Layout Outer Ring Road Laggere,1
Kasturba Cross Road Lavelle Road,1
Kammanahalli Main Road Kammanahalli,1
Kammanahalli,1
Hill View Residency Road Uttarahalli,1
Hessargatta Main Road,1
Hesarghatta Main Road Hessargatta Main Road,1
Gaddige Main Road Bogadi,1
Govindaraj Nagar-Vijaynagar,1
Gnana Bharathi Main Road Nagarbhavi,1
Girinagar,1
Giddenahalli Road Jigani,1
Garvebhavipalya,1
Gangadhar Chetty Road Ulsoor,1
Gandhi Circle Varthur Varthur,1
Gandhi Bazaar main road Basavanagudi,1
GR Arcade Kasavanahalli,1
Gowri Kaluve Chikmagalur Fort,1
GNR Gardens Babusapalya,1
Electronic C electronic city,1
Ejipura Main Road Ejipura,1
East Jayanagar,1
E Block Brookefield,1
Dwaraka Nagar Bengaluru Nms Layout,1
Dr Subbarayan Road Agraharam,1
Double Road9th Main Road Ramamurthy Nagar,1
Govt Boys College Main Road Kolar Fort,1
Green Glen Layout Bellandur,1
Heritage Noah's Ark Sarjapura,1
HSR Layout HSR Layout,1
Hennur Bagalur Main Road Byrathi,1
Hebbal,1
Hebbagodi,1
Hanumantha Nagar-Banashankari,1
HSR Sector5/jakkasandra Koramangala,1
HSR Layout Sector 7,1
HSR Layout Sector 3,1
HSR Layout Sector 2,1
HSR LAYOUT SECTOR 5,1
Guava Garden KHB Road Koramangala,1
HRBR Layout Kalyan Nagar,1
HORAMAVU MAIN ROAD Horamavu,1
HMT Main Road Mathikere,1
HBR Layout,1
Gurudwara Road Model Town,1
Guru Nanak Vihar Race Course,1
Gulmohor Road Savedi,1
Guddahalli Thammenahalli Village,1
ajmer Nagra,1
