name,address,phone,rating,reviews,category,Medium,City,Full Street Address,Area / Locality
Republic Of Domination,"Panduranga Nagar, Bangalore",Show Number,4.9,108,Calisthenic-Gym,JustDial,Bangalore,Panduranga Nagar,Panduranga Nagar
Akhaada Crossfit Studio,"Anugraha Layout, Bangalore",Show Number,5.0,102,Calisthenic-Gym,JustDial,Bangalore,Anugraha Layout,Anugraha Layout
Fitness At Impact,"3rd Block Basaveshwara Nagar, Bangalore",,4.8,87,Calisthenic-Gym,JustDial,Bangalore,3rd Block Basaveshwara Nagar,3rd Block Basaveshwara Nagar
Bell Fitness and Play Arena,"Dodda Basti Main Road Sonnenahalli, Bangalore",Show Number,4.9,83,Calisthenic-Gym,JustDial,Bangalore,Dodda Basti Main Road Sonnenahalli,Dodda Basti Main Road Sonnenahalli
The Outfit Gym,"Sodepur Appareddipalya Bengaluru Indiranagar, Bangalore",Show Number,4.6,86,Calisthenic-Gym,JustDial,Bangalore,Sodepur Appareddipalya Bengaluru Indiranagar,Sodepur Appareddipalya Bengaluru Indiranagar
Muscle Garage,"Dr Rajkumar Road Rajajinagar 6th Block, Bangalore",Show Number,5.0,48,Calisthenic-Gym,JustDial,Bangalore,Dr Rajkumar Road Rajajinagar 6th Block,Dr Rajkumar Road Rajajinagar 6th Block
Get In Shape,"Seshadripuram, Bangalore",,4.9,8,Calisthenic-Gym,JustDial,Bangalore,Seshadripuram,Seshadripuram
Srushti Kala Mandira,"16th Jp Nagar 5th Phase, Bangalore",Show Number,4.3,8,Calisthenic-Gym,JustDial,Bangalore,16th Jp Nagar 5th Phase,16th Jp Nagar 5th Phase
Fitness Edge Equipments,"#44 CNR Complex Vinayaka Nagar Yelahanka, Bangalore",Show Number,3.8,5,Calisthenic-Gym,JustDial,Bangalore,#44 CNR Complex Vinayaka Nagar Yelahanka,#44 CNR Complex Vinayaka Nagar Yelahanka
The Cavalry Strength And Conditioning,"Street John'S Road St Johns Road, Bangalore",Show Number,4.4,4,Calisthenic-Gym,JustDial,Bangalore,Street John'S Road St Johns Road,Street John'S Road St Johns Road
Fit Equation Gym,"1st Phase Bharat Nagar, Bangalore",Show Number,5.0,2,Calisthenic-Gym,JustDial,Bangalore,1st Phase Bharat Nagar,1st Phase Bharat Nagar
Spartan Fitness,"Kogilu Main Road Kogilu, Bangalore",Show Number,4.0,2,Calisthenic-Gym,JustDial,Bangalore,Kogilu Main Road Kogilu,Kogilu Main Road Kogilu
Sri Gandha Gym,"Magadi Main Road Anjananagar, Bangalore",,5.0,1,Calisthenic-Gym,JustDial,Bangalore,Magadi Main Road Anjananagar,Magadi Main Road Anjananagar
Mr Chethan,"Mysore Road Kumbalgodu, Bangalore",Show Number,4.0,1,Calisthenic-Gym,JustDial,Bangalore,Mysore Road Kumbalgodu,Mysore Road Kumbalgodu
Mahi's Dance Club,"Ist Cross Road Bhagyalakshmi Avenue, Bangalore",Show Number,4.0,1,Calisthenic-Gym,JustDial,Bangalore,Ist Cross Road Bhagyalakshmi Avenue,Ist Cross Road Bhagyalakshmi Avenue
NB3 Fitness Centra gym,Bangalore,,3.0,1,Calisthenic-Gym,JustDial,Bangalore,Bangalore,Bangalore
Sculpt Fitness,"Rayakotta Road Old Rayakottah HUDCO, Hosur",Show Number,5.0,8,Calisthenic-Gym,JustDial,Hosur,Rayakotta Road Old Rayakottah HUDCO,Rayakotta Road Old Rayakottah HUDCO
Hosur Sports Arena,"Krishnagiri Bye Pass Road Jalagandeswarar Nagar, Hosur",Show Number,4.5,140,Calisthenic-Gym,JustDial,Hosur,Krishnagiri Bye Pass Road Jalagandeswarar Nagar,Krishnagiri Bye Pass Road Jalagandeswarar Nagar
New S P Fitness Studio,"Channel Road Ck Road, Channapatna",Show Number,4.9,19,Calisthenic-Gym,JustDial,Channapatna,Channel Road Ck Road,Channel Road Ck Road
MS FITNESS AND GYM,"Govt Boys College Main Road Kolar Fort, Kolar",Show Number,4.9,42,Calisthenic-Gym,JustDial,Kolar,Govt Boys College Main Road Kolar Fort,Govt Boys College Main Road Kolar Fort
My Fit Fitness Centre,"Sidco Krishnagiri Courts, Krishnagiri",Show Number,5.0,55,Calisthenic-Gym,JustDial,Krishnagiri,Sidco Krishnagiri Courts,Sidco Krishnagiri Courts
Ajaya Golden Gym,"Old Bus Stand Road Pandavapura, Mandya",Show Number,5.0,1,Calisthenic-Gym,JustDial,Mandya,Old Bus Stand Road Pandavapura,Old Bus Stand Road Pandavapura
POWER HOUSE GYM SLEEK FIT MACHINE MAKERS,"Al Badar Road Rajivnagar, Mysore",Show Number,4.4,160,Calisthenic-Gym,JustDial,Mysore,Al Badar Road Rajivnagar,Al Badar Road Rajivnagar
Pure Gym,"New Kantharaj Urs Road Tk Layout, Mysore",Show Number,4.6,281,Calisthenic-Gym,JustDial,Mysore,New Kantharaj Urs Road Tk Layout,New Kantharaj Urs Road Tk Layout
Heallth Club,"2nd Phase Vijaynagar 4th Stage, Mysore",Show Number,4.8,16,Calisthenic-Gym,JustDial,Mysore,2nd Phase Vijaynagar 4th Stage,2nd Phase Vijaynagar 4th Stage
Supernova Fitness 365,"Gaddige Main Road Bogadi, Mysore",Show Number,5.0,5,Calisthenic-Gym,JustDial,Mysore,Gaddige Main Road Bogadi,Gaddige Main Road Bogadi
G V Fitness Gym,"12 Bangalore Highways Karumbalai Karuppur, Salem",Show Number,4.9,64,Calisthenic-Gym,JustDial,Salem,12 Bangalore Highways Karumbalai Karuppur,12 Bangalore Highways Karumbalai Karuppur
Akhils Ak Fitness,"Dr Subbarayan Road Agraharam, Salem",Show Number,5.0,3,Calisthenic-Gym,JustDial,Salem,Dr Subbarayan Road Agraharam,Dr Subbarayan Road Agraharam
K A 13 Fitness,"Dasarakoppalu Circle Salagame Road, Hassan",09724265594,5.0,53,Calisthenic-Gym,JustDial,Hassan,Dasarakoppalu Circle Salagame Road,Dasarakoppalu Circle Salagame Road
Ironstone Gym,"M G Road Bm Road, Hassan",Show Number,4.6,98,Calisthenic-Gym,JustDial,Hassan,M G Road Bm Road,M G Road Bm Road
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101,Dance-Zumba-Studio,JustDial,Bangalore,Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar
Zumba Fitness Dance - Fox Fire Dance Studio,"VMR Complex Munekollal, Bangalore",,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,VMR Complex Munekollal,VMR Complex Munekollal
Kink Moirai Dance & Zumba Fitness Studio,"Dasarahalli Main Road Hebbal, Bangalore",Show Number,5.0,34,Dance-Zumba-Studio,JustDial,Bangalore,Dasarahalli Main Road Hebbal,Dasarahalli Main Road Hebbal
Moumitas' Zumba and Freestyle Dance Studio,"Vishwajit Layout Vignana Nagar, Bangalore",,4.8,20,Dance-Zumba-Studio,JustDial,Bangalore,Vishwajit Layout Vignana Nagar,Vishwajit Layout Vignana Nagar
D'senoras - Zumba & Dance Fitness Studio,"Brindavan Layout Road Horamavu, Bangalore",Show Number,4.3,3,Dance-Zumba-Studio,JustDial,Bangalore,Brindavan Layout Road Horamavu,Brindavan Layout Road Horamavu
Resuel Bank Studio Zin Zumba And Dance Fitness Studio,"Hosur Road Koramangala, Bangalore",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Hosur Road Koramangala,Hosur Road Koramangala
Dance &Zumba Studio,"Pragati Puram Habibulla Nagar, Raebareli",,4.8,26,Dance-Zumba-Studio,JustDial,Raebareli,Pragati Puram Habibulla Nagar,Pragati Puram Habibulla Nagar
8e1 Dance Studio,"Bannerghatta Road Arekere Village, Bangalore",Show Number,4.9,91,Dance-Zumba-Studio,JustDial,Bangalore,Bannerghatta Road Arekere Village,Bannerghatta Road Arekere Village
SR Dance and Fitness Studio,"Gottigere BG Road Gottigere, Bangalore",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Gottigere BG Road Gottigere,Gottigere BG Road Gottigere
Dance Studio & Zumba Center,"Nagla Masani Pratibha Colony, Aligarh",,4.0,2,Dance-Zumba-Studio,JustDial,Aligarh,Nagla Masani Pratibha Colony,Nagla Masani Pratibha Colony
Dance To Fit Zumba Studio,"Tatabad 3rd Street Tatabad, Coimbatore",,4.8,44,Dance-Zumba-Studio,JustDial,Coimbatore,Tatabad 3rd Street Tatabad,Tatabad 3rd Street Tatabad
Dance Beat(Dance & Zumba Fitness Studio),"Sector 12 Chopasni Housing Board, Jodhpur",Show Number,4.6,6,Dance-Zumba-Studio,JustDial,Jodhpur,Sector 12 Chopasni Housing Board,Sector 12 Chopasni Housing Board
Dance Work Studio & Zumba Classes,"Tehri Visthapit Colony, Haridwar",,4.6,210,Dance-Zumba-Studio,JustDial,Haridwar,Tehri Visthapit Colony,Tehri Visthapit Colony
Dance Academy Zumba Studio Vadodara Baroda,"Sun Pharma Road Bhaili, Vadodara",Show Number,4.0,2,Dance-Zumba-Studio,JustDial,Vadodara,Sun Pharma Road Bhaili,Sun Pharma Road Bhaili
Dance with me dance & zumba studio,"Mehsana Industrial Estate, Mehsana",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Mehsana,Mehsana Industrial Estate,Mehsana Industrial Estate
Dance Zumba Aerobics Instructor,Bangalore,Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Bangalore,Bangalore
Private Dance yoga zumba trainer,"BTM Lake Road BTM Layout 2nd Stage, Bangalore",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,BTM Lake Road BTM Layout 2nd Stage,BTM Lake Road BTM Layout 2nd Stage
Saraswathi Risen Eternal Zumba Dance Yoga Aerobics Fitness Academy,"Hosur Main Road Electronic City Phase 2, Bangalore",Show Number,4.7,41,Dance-Zumba-Studio,JustDial,Bangalore,Hosur Main Road Electronic City Phase 2,Hosur Main Road Electronic City Phase 2
Machas Zumba & Dance Fitness,"Vmr Complex 4th Floor Kundalahalli, Bangalore",Show Number,4.9,520,Dance-Zumba-Studio,JustDial,Bangalore,Vmr Complex 4th Floor Kundalahalli,Vmr Complex 4th Floor Kundalahalli
Santhus Zumba Dance And Yoga,"5th Cross C V Raman Nagar, Bangalore",Show Number,4.9,127,Dance-Zumba-Studio,JustDial,Bangalore,5th Cross C V Raman Nagar,5th Cross C V Raman Nagar
Alpha Zumba Dance Fitness Centre,"Double Road9th Main Road Ramamurthy Nagar, Bangalore",Show Number,4.5,42,Dance-Zumba-Studio,JustDial,Bangalore,Double Road9th Main Road Ramamurthy Nagar,Double Road9th Main Road Ramamurthy Nagar
ZUMBA & DANCE FITNESS,"Ayyappa Nagar-Krishnarajapura, Bangalore",Show Number,5.0,1,Dance-Zumba-Studio,JustDial,Bangalore,Ayyappa Nagar-Krishnarajapura,Ayyappa Nagar-Krishnarajapura
Zumba Fitness And Dance,"Dwaraka Nagar Bengaluru Nms Layout, Bangalore",Show Number,4.0,2,Dance-Zumba-Studio,JustDial,Bangalore,Dwaraka Nagar Bengaluru Nms Layout,Dwaraka Nagar Bengaluru Nms Layout
Bollywood Western Zumba Dance Academy,"Sonnenahalli Krishnarajapura Bengaluru K Dommasandra, Bangalore",,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Sonnenahalli Krishnarajapura Bengaluru K Dommasandra,Sonnenahalli Krishnarajapura Bengaluru K Dommasandra
Aerobics Zumba Fitness Program Marathon and Dance (Closed Down),"Hennur Bagalur Road Patel Nanjundappa Layout, Bangalore",,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Hennur Bagalur Road Patel Nanjundappa Layout,Hennur Bagalur Road Patel Nanjundappa Layout
Umesh Studio Dance & Zumba Fitness Classes,"B Wing 3rd Floor Patni Chowk, Washim",Show Number,4.7,9,Dance-Zumba-Studio,JustDial,Washim,B Wing 3rd Floor Patni Chowk,B Wing 3rd Floor Patni Chowk
Aryashiva School Of Dance and Aerobic & Zumba Fitnes Studio,"Gowri Kaluve Chikmagalur Fort, Chikmagalur",09972950368,4.7,20,Dance-Zumba-Studio,JustDial,Chikmagalur,Gowri Kaluve Chikmagalur Fort,Gowri Kaluve Chikmagalur Fort
Funk Fusion Dance and Zumba Fitness Studio,"Gulmohor Road Savedi, Ahmednagar",08460456037,4.2,17,Dance-Zumba-Studio,JustDial,Ahmednagar,Gulmohor Road Savedi,Gulmohor Road Savedi
Kommotion Studio Of Dance Zumba And Fitness,"Guru Nanak Vihar Race Course, Dehradun",Show Number,4.8,161,Dance-Zumba-Studio,JustDial,Dehradun,Guru Nanak Vihar Race Course,Guru Nanak Vihar Race Course
Rise and Shine Dance Zumba Aerobics Yoga Studio,"Street No 2 Lalammagarden Manikonda, Hyderabad",09054750518,4.8,301,Dance-Zumba-Studio,JustDial,Hyderabad,Street No 2 Lalammagarden Manikonda,Street No 2 Lalammagarden Manikonda
Groove Galaxy Dance And Zumba Fitness Studio Lucknow,"Wazir Hussain Gokhale Vihar Marg, Lucknow",08123170861,4.9,12,Dance-Zumba-Studio,JustDial,Lucknow,Wazir Hussain Gokhale Vihar Marg,Wazir Hussain Gokhale Vihar Marg
The Women S Power Zumba & Dance Studio,"Ramna Kharbi, Nagpur",Show Number,4.8,74,Dance-Zumba-Studio,JustDial,Nagpur,Ramna Kharbi,Ramna Kharbi
Rise and Shine Dance Zumba Aerobics Yoga Studio,"Street No:2 Manikonda, Hyderabad",08197651194,4.8,301,Dance-Zumba-Studio,JustDial,Hyderabad,Street No:2 Manikonda,Street No:2 Manikonda
Marvelouz Zumba & Fitness Studio,"Old Alwal-Alwal, Hyderabad",Show Number,4.8,90,Dance-Zumba-Studio,JustDial,Hyderabad,Old Alwal-Alwal,Old Alwal-Alwal
Kalpataa -power Yoga Zumba and Dance Studio,"Sanatana Eternal 1st Floor Himayat Nagar, Hyderabad",Show Number,4.6,250,Dance-Zumba-Studio,JustDial,Hyderabad,Sanatana Eternal 1st Floor Himayat Nagar,Sanatana Eternal 1st Floor Himayat Nagar
Zumba Aerobics Fitness & D Creation Dance Studio,"Gurudwara Road Model Town, Panipat",Show Number,4.0,3,Dance-Zumba-Studio,JustDial,Panipat,Gurudwara Road Model Town,Gurudwara Road Model Town
Rocky Dance Studio & Zumba Fitness Class,"Ground Floor Dilawar Gunj Mangal Hat East, Hyderabad",,4.6,210,Dance-Zumba-Studio,JustDial,Hyderabad,Ground Floor Dilawar Gunj Mangal Hat East,Ground Floor Dilawar Gunj Mangal Hat East
Isha Space For Arts,"Judicial Layout Gkvk, Bangalore",Show Number,4.6,31,Dance-Zumba-Studio,JustDial,Bangalore,Judicial Layout Gkvk,Judicial Layout Gkvk
Raj Dance Academy,"Kengeri Satelite Town, Bangalore",,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Kengeri Satelite Town,Kengeri Satelite Town
YADHUVEER DANCE ACADEMY,"Basaveshwara Nagar, Bangalore",Show Number,2.5,2,Dance-Zumba-Studio,JustDial,Bangalore,Basaveshwara Nagar,Basaveshwara Nagar
Studio Of Passion,"Royal Mart Building 2nd Floor Padmanabhanagar, Bangalore",,4.8,4,Dance-Zumba-Studio,JustDial,Bangalore,Royal Mart Building 2nd Floor Padmanabhanagar,Royal Mart Building 2nd Floor Padmanabhanagar
Zumba With Royston Whitefield,"Whitefield Whitefield Main Road, Bangalore",Show Number,4.0,2,Dance-Zumba-Studio,JustDial,Bangalore,Whitefield Whitefield Main Road,Whitefield Whitefield Main Road
Guevaric Dancers,"7th Cross Wilson Garden, Bangalore",Show Number,4.8,8,Dance-Zumba-Studio,JustDial,Bangalore,7th Cross Wilson Garden,7th Cross Wilson Garden
Zumba Fitness Indiranagar,"100 Feet Road Indiranagar Indiranagar, Bangalore",Show Number,3.8,6,Dance-Zumba-Studio,JustDial,Bangalore,100 Feet Road Indiranagar Indiranagar,100 Feet Road Indiranagar Indiranagar
Dancing Butterflies Zumba,"Gandhi Bazaar main road Basavanagudi, Bangalore",Show Number,3.0,1,Dance-Zumba-Studio,JustDial,Bangalore,Gandhi Bazaar main road Basavanagudi,Gandhi Bazaar main road Basavanagudi
Dance Planet,"HSR LAYOUT SECTOR 5, Bangalore",Show Number,2.5,1,Dance-Zumba-Studio,JustDial,Bangalore,HSR LAYOUT SECTOR 5,HSR LAYOUT SECTOR 5
Zumba,"12th Main Road BTM Layout 2nd Stage, Bangalore",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,12th Main Road BTM Layout 2nd Stage,12th Main Road BTM Layout 2nd Stage
Bellez Dance And Fitness Academy,"Koramangala 1 Block Koramangala, Bangalore",,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,Koramangala 1 Block Koramangala,Koramangala 1 Block Koramangala
Rdi Dance Studio,"BTM Layout 2nd Stage, Bangalore",Show Number,4.6,210,Dance-Zumba-Studio,JustDial,Bangalore,BTM Layout 2nd Stage,BTM Layout 2nd Stage
Kyokushin Karate Mohan Dojo,"15th J Cross Road Bns Layout, Bangalore",Show Number,4.8,16,Karate-Dojo,JustDial,Bangalore,15th J Cross Road Bns Layout,15th J Cross Road Bns Layout
Shaolin Karate - Okajima Dojo,"Jakkur Plantation, Bangalore",Show Number,4.3,3,Karate-Dojo,JustDial,Bangalore,Jakkur Plantation,Jakkur Plantation
Kyokushin Karate Anil Dojo Academy,"12th Main Road Hebbal, Bangalore",Show Number,4.7,10,Karate-Dojo,JustDial,Bangalore,12th Main Road Hebbal,12th Main Road Hebbal
Jska Karate Dojo,"Kothnur Village Main Road Jp Nagar, Bangalore",Show Number,4.6,19,Karate-Dojo,JustDial,Bangalore,Kothnur Village Main Road Jp Nagar,Kothnur Village Main Road Jp Nagar
Shorin-Ryu Shobu-Kan Karate Dojo,"Annasandrapalya Extension, Bangalore",Show Number,4.7,8,Karate-Dojo,JustDial,Bangalore,Annasandrapalya Extension,Annasandrapalya Extension
Arakawa Wadokai Karate Do,"Bg Road Krishna Layout Extension, Bangalore",Show Number,3.0,2,Karate-Dojo,JustDial,Bangalore,Bg Road Krishna Layout Extension,Bg Road Krishna Layout Extension
Shotokan KARATE-DOJO,"KVP Nagat 2nd Stage Jalahalli East, Bangalore",Show Number,4.6,210,Karate-Dojo,JustDial,Bangalore,KVP Nagat 2nd Stage Jalahalli East,KVP Nagat 2nd Stage Jalahalli East
Kyokushin Full Contact Karate Dojo (Hpka),"Inner Cir Road Channasandra, Bangalore",,4.6,210,Karate-Dojo,JustDial,Bangalore,Inner Cir Road Channasandra,Inner Cir Road Channasandra
The Dojo Karate Center,"Nagareshwara Nagenahalli Main Road K Narayanapura, Bangalore",,2.5,2,Karate-Dojo,JustDial,Bangalore,Nagareshwara Nagenahalli Main Road K Narayanapura,Nagareshwara Nagenahalli Main Road K Narayanapura
Karate Dojo,"Rajupeta Colony Ramalayam, Bhadrachalam",Show Number,5.0,1,Karate-Dojo,JustDial,Bhadrachalam,Rajupeta Colony Ramalayam,Rajupeta Colony Ramalayam
Karate Dojo Moga,"Basti Gobindgarh Road Nanak Pura, Moga",Show Number,4.6,5,Karate-Dojo,JustDial,Moga,Basti Gobindgarh Road Nanak Pura,Basti Gobindgarh Road Nanak Pura
Karate Dojo Den,"Balaji Mandir Pally Sushmapally, Kharagpur",Show Number,4.6,11,Karate-Dojo,JustDial,Kharagpur,Balaji Mandir Pally Sushmapally,Balaji Mandir Pally Sushmapally
The Karate Dojo,"Sitamani Sita Manimain Road, Korba",Show Number,4.3,3,Karate-Dojo,JustDial,Korba,Sitamani Sita Manimain Road,Sitamani Sita Manimain Road
Dojo De Santa Cruz,"Bondir Wado Panaji Santa Cruz, Goa",Show Number,5.0,26,Karate-Dojo,JustDial,Goa,Bondir Wado Panaji Santa Cruz,Bondir Wado Panaji Santa Cruz
Karate Dojo & Dream of Dance,"Bhagwat Nagar Chauraha, Patna",Show Number,4.9,1,Karate-Dojo,JustDial,Patna,Bhagwat Nagar Chauraha,Bhagwat Nagar Chauraha
Karate Dojo & Dream Of Dance Class,"Bhootnath Road Chitragupta Nagar, Patna",Show Number,4.9,136,Karate-Dojo,JustDial,Patna,Bhootnath Road Chitragupta Nagar,Bhootnath Road Chitragupta Nagar
Karate Dojo (Office) Sensei Dinesh Choudhary,"Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara, Jaipur",,4.9,15,Karate-Dojo,JustDial,Jaipur,Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara,Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara
Karate Dojo,"S Lachit Nagar Main Road, Guwahati",,3.6,7,Karate-Dojo,JustDial,Guwahati,S Lachit Nagar Main Road,S Lachit Nagar Main Road
The Karate Dojo ( Martial-arts Academy),"VLM English School Sunder Nagar, Raipur-Chhattisgarh",Show Number,4.6,5,Karate-Dojo,JustDial,Raipur-Chhattisgarh,VLM English School Sunder Nagar,VLM English School Sunder Nagar
Karate Dojo Classes,"G.t. Road Etah Railway Road, Etah",Show Number,4.6,210,Karate-Dojo,JustDial,Etah,G.t. Road Etah Railway Road,G.t. Road Etah Railway Road
karate dojo,"ajmer Nagra, Ajmer",Show Number,3.5,2,Karate-Dojo,JustDial,Ajmer,ajmer Nagra,ajmer Nagra
Karate Dojo Jaysree Sangha,"Joyshree Sangha Kalitala Kolkata Bansdroni, Kolkata",Show Number,5.0,9,Karate-Dojo,JustDial,Kolkata,Joyshree Sangha Kalitala Kolkata Bansdroni,Joyshree Sangha Kalitala Kolkata Bansdroni
The Karate Dojo Academy,"Shivanand Nagar Road Khamtarai, Raipur-Chhattisgarh",,4.6,210,Karate-Dojo,JustDial,Raipur-Chhattisgarh,Shivanand Nagar Road Khamtarai,Shivanand Nagar Road Khamtarai
Karate Dojo (Closed Down),"Nashik Nagar Thirunindravur, Chennai",,4.6,210,Karate-Dojo,JustDial,Chennai,Nashik Nagar Thirunindravur,Nashik Nagar Thirunindravur
Karate Dojo Sensei Dinesh Choudhary,"14 Narsi Vihar Bajrang Dwar Jhotwara, Jaipur",,4.6,210,Karate-Dojo,JustDial,Jaipur,14 Narsi Vihar Bajrang Dwar Jhotwara,14 Narsi Vihar Bajrang Dwar Jhotwara
Karate Dojo Club,"Bhagwat Nagar Road Kankarbagh, Patna",Show Number,4.6,210,Karate-Dojo,JustDial,Patna,Bhagwat Nagar Road Kankarbagh,Bhagwat Nagar Road Kankarbagh
Karate Dojo Okinawan Shorin Ryu -Udun Ti Kobudo Jutsu,"Kolakkad, Kannur",Show Number,4.6,210,Karate-Dojo,JustDial,Kannur,Kolakkad,Kolakkad
Vel Dojo,"Mathikere Market Road Mathikere, Bangalore",Show Number,3.9,11,Karate-Dojo,JustDial,Bangalore,Mathikere Market Road Mathikere,Mathikere Market Road Mathikere
Karate Class Indian Unique Karate Association (Shotokan Style),"Kereguddadahalli, Bangalore",Show Number,5.0,15,Karate-Dojo,JustDial,Bangalore,Kereguddadahalli,Kereguddadahalli
Karate Trainer,Bangalore,Show Number,4.6,210,Karate-Dojo,JustDial,Bangalore,Bangalore,Bangalore
Seibudo Kai Karate Do Training School,"K. R. Road Jayanagar, Bangalore",Show Number,4.7,21,Karate-Dojo,JustDial,Bangalore,K. R. Road Jayanagar,K. R. Road Jayanagar
Karate Academy,"Kodigehalli Main Road Krishnarajapuram, Bangalore",Show Number,5.0,94,Karate-Dojo,JustDial,Bangalore,Kodigehalli Main Road Krishnarajapuram,Kodigehalli Main Road Krishnarajapuram
Karate And Martial Arts Classes Nelamangala,"Pes Vidya Kendra Nelamangala Town Nelamangala, Bangalore",,3.0,1,Karate-Dojo,JustDial,Bangalore,Pes Vidya Kendra Nelamangala Town Nelamangala,Pes Vidya Kendra Nelamangala Town Nelamangala
Karate Guru,"1 Street Main Road Ilyas Nagar, Bangalore",Show Number,4.8,31,Karate-Dojo,JustDial,Bangalore,1 Street Main Road Ilyas Nagar,1 Street Main Road Ilyas Nagar
Karate Association Jka India Karnataka,"Cil Layout, Bangalore",Show Number,4.1,10,Karate-Dojo,JustDial,Bangalore,Cil Layout,Cil Layout
Karate & Fitness Classes,"Virat Nagar-Bommanahalli, Bangalore",,4.7,12,Karate-Dojo,JustDial,Bangalore,Virat Nagar-Bommanahalli,Virat Nagar-Bommanahalli
Karate Class (Shotokan),"J.p Nagar 6th Jp Nagar, Bangalore",Show Number,4.3,26,Karate-Dojo,JustDial,Bangalore,J.p Nagar 6th Jp Nagar,J.p Nagar 6th Jp Nagar
Karate Summer Camp,"g s complex kattigenhalli Kattigenahalli, Bangalore",Show Number,4.6,210,Karate-Dojo,JustDial,Bangalore,g s complex kattigenhalli Kattigenahalli,g s complex kattigenhalli Kattigenahalli
Karate Kick,"Heritage Noah's Ark Sarjapura, Bangalore",Show Number,5.0,3,Karate-Dojo,JustDial,Bangalore,Heritage Noah's Ark Sarjapura,Heritage Noah's Ark Sarjapura
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",08105032618,4.5,382,Kickboxing-Studio,JustDial,Bangalore,Dinnur Main Road Rt Nagar,Dinnur Main Road Rt Nagar
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211,Kickboxing-Studio,JustDial,Bangalore,Oil Mill Road Kammanahalli,Oil Mill Road Kammanahalli
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",08511066401,4.6,367,Kickboxing-Studio,JustDial,Bangalore,Maruthi Nagar Madiwala,Maruthi Nagar Madiwala
Refinas Bangalore,"Richmond Rd Ashoknagar, Bangalore",09845468255,5.0,122,Kickboxing-Studio,JustDial,Bangalore,Richmond Rd Ashoknagar,Richmond Rd Ashoknagar
Furyinc.Co,Bangalore,09980116072,4.4,4,Kickboxing-Studio,JustDial,Bangalore,Bangalore,Bangalore
Rba Of Arts,"Beml Layout Rajarajeshwari Nagar, Bangalore",09980539404,4.5,65,Kickboxing-Studio,JustDial,Bangalore,Beml Layout Rajarajeshwari Nagar,Beml Layout Rajarajeshwari Nagar
Zest Fitness Studio,"HSR Layout Sector 7, Bangalore",Show Number,4.7,2,Kickboxing-Studio,JustDial,Bangalore,HSR Layout Sector 7,HSR Layout Sector 7
Gold's Gym,"Whitefield Main Road Whitefield, Bangalore",Show Number,4.1,1,Kickboxing-Studio,JustDial,Bangalore,Whitefield Main Road Whitefield,Whitefield Main Road Whitefield
Befiter Fitness,"11th Main Road Mathikere, Bangalore",Show Number,4.8,1,Kickboxing-Studio,JustDial,Bangalore,11th Main Road Mathikere,11th Main Road Mathikere
Fitness Honor,"Arakere, Bangalore",Show Number,4.9,1,Kickboxing-Studio,JustDial,Bangalore,Arakere,Arakere
We Fitness Health And Wellness Centre,"23rd Main Jp Nagar 5th Phase, Bangalore",Show Number,4.4,1,Kickboxing-Studio,JustDial,Bangalore,23rd Main Jp Nagar 5th Phase,23rd Main Jp Nagar 5th Phase
